dataset,n,W,metodo,tiempo
podas-BT-RA-BI,25,12,BT-O,0.006532
podas-BT-RA-BI,25,12,BT-F,0.005731
podas-BT-RA-BI,26,13,BT,0.005551
podas-BT-RA-BI,26,13,BT-O,0.00548
podas-BT-RA-BI,26,13,BT-F,0.006843
podas-BT-RA-BI,27,13,BT,0.006482
podas-BT-RA-BI,27,13,BT-O,0.005791
podas-BT-RA-BI,27,13,BT-F,0.004779
podas-BT-RA-BI,28,14,BT,0.007715
podas-BT-RA-BI,28,14,BT-O,0.007194
podas-BT-RA-BI,28,14,BT-F,0.006883
podas-BT-RA-BI,29,14,BT,0.007274
podas-BT-RA-BI,29,14,BT-O,0.006984
podas-BT-RA-BI,29,14,BT-F,0.006342
podas-BT-RA-BI,30,15,BT,0.008597
podas-BT-RA-BI,30,15,BT-O,0.007854
podas-BT-RA-BI,30,15,BT-F,0.007494
podas-BT-RA-BI,31,15,BT,0.009588
podas-BT-RA-BI,31,15,BT-O,0.006472
podas-BT-RA-BI,31,15,BT-F,0.009127
podas-BT-RA-BI,32,16,BT,0.009518
podas-BT-RA-BI,32,16,BT-O,0.010149
podas-BT-RA-BI,32,16,BT-F,0.011041
podas-BT-RA-BI,33,16,BT,0.01048
podas-BT-RA-BI,33,16,BT-O,0.009027
podas-BT-RA-BI,33,16,BT-F,0.009909
podas-BT-RA-BI,34,17,BT,0.010099
podas-BT-RA-BI,34,17,BT-O,0.009527
podas-BT-RA-BI,34,17,BT-F,0.010731
podas-BT-RA-BI,35,17,BT,0.009378
podas-BT-RA-BI,35,17,BT-O,0.006592
podas-BT-RA-BI,35,17,BT-F,0.011522
podas-BT-RA-BI,36,18,BT,0.014558
podas-BT-RA-BI,36,18,BT-O,0.014387
podas-BT-RA-BI,36,18,BT-F,0.010851
podas-BT-RA-BI,37,18,BT,0.013636
podas-BT-RA-BI,37,18,BT-O,0.011822
podas-BT-RA-BI,37,18,BT-F,0.011933
podas-BT-RA-BI,38,19,BT,0.01588
podas-BT-RA-BI,38,19,BT-O,0.014668
podas-BT-RA-BI,38,19,BT-F,0.016702
podas-BT-RA-BI,39,19,BT,0.013285
podas-BT-RA-BI,39,19,BT-O,0.008577
podas-BT-RA-BI,39,19,BT-F,0.013866
podas-BT-RA-BI,40,20,BT,0.017613
podas-BT-RA-BI,40,20,BT-O,0.019356
podas-BT-RA-BI,40,20,BT-F,0.017864
podas-BT-RA-BI,41,20,BT,0.008106
podas-BT-RA-BI,41,20,BT-O,0.008045
podas-BT-RA-BI,41,20,BT-F,0.01575
podas-BT-RA-BI,42,21,BT,0.019146
podas-BT-RA-BI,42,21,BT-O,0.017052
podas-BT-RA-BI,42,21,BT-F,0.018445
podas-BT-RA-BI,43,21,BT,0.022813
podas-BT-RA-BI,43,21,BT-O,0.022052
podas-BT-RA-BI,43,21,BT-F,0.018665
podas-BT-RA-BI,44,22,BT,0.026299
podas-BT-RA-BI,44,22,BT-O,0.027742
podas-BT-RA-BI,44,22,BT-F,0.026009
podas-BT-RA-BI,45,22,BT,0.01549
podas-BT-RA-BI,45,22,BT-O,0.01605
podas-BT-RA-BI,45,22,BT-F,0.020669
podas-BT-RA-BI,46,23,BT,0.012023
podas-BT-RA-BI,46,23,BT-O,0.01581
podas-BT-RA-BI,46,23,BT-F,0.02146
podas-BT-RA-BI,47,23,BT,0.032682
podas-BT-RA-BI,47,23,BT-O,0.032331
podas-BT-RA-BI,47,23,BT-F,0.031239
podas-BT-RA-BI,48,24,BT,0.020087
podas-BT-RA-BI,48,24,BT-O,0.013956
podas-BT-RA-BI,48,24,BT-F,0.026851
podas-BT-RA-BI,49,24,BT,0.029065
podas-BT-RA-BI,49,24,BT-O,0.033713
podas-BT-RA-BI,49,24,BT-F,0.032982
podas-BT-RA-BI,50,25,BT,0.030708
podas-BT-RA-BI,50,25,BT-O,0.04281
podas-BT-RA-BI,50,25,BT-F,0.043482
podas-BT-RA-BI,51,25,BT,0.029977
podas-BT-RA-BI,51,25,BT-O,0.030187
podas-BT-RA-BI,51,25,BT-F,0.035857
podas-BT-RA-BI,52,26,BT,0.03735
podas-BT-RA-BI,52,26,BT-O,0.034796
podas-BT-RA-BI,52,26,BT-F,0.053431
podas-BT-RA-BI,53,26,BT,0.043512
podas-BT-RA-BI,53,26,BT-O,0.023213
podas-BT-RA-BI,53,26,BT-F,0.044494
podas-BT-RA-BI,54,27,BT,0.034224
podas-BT-RA-BI,54,27,BT-O,0.062548
podas-BT-RA-BI,54,27,BT-F,0.039734
podas-BT-RA-BI,55,27,BT,0.028183
podas-BT-RA-BI,55,27,BT-O,0.040476
podas-BT-RA-BI,55,27,BT-F,0.046908
podas-BT-RA-BI,56,28,BT,0.05836
podas-BT-RA-BI,56,28,BT-O,0.056918
podas-BT-RA-BI,56,28,BT-F,0.065734
podas-BT-RA-BI,57,28,BT,0.08479
podas-BT-RA-BI,57,28,BT-O,0.089899
podas-BT-RA-BI,57,28,BT-F,0.087785
podas-BT-RA-BI,58,29,BT,0.062147
podas-BT-RA-BI,58,29,BT-O,0.04228
podas-BT-RA-BI,58,29,BT-F,0.046898
podas-BT-RA-BI,59,29,BT,0.042219
podas-BT-RA-BI,59,29,BT-O,0.038833
podas-BT-RA-BI,59,29,BT-F,0.050274
podas-BT-RA-BI,60,30,BT,0.055455
podas-BT-RA-BI,60,30,BT-O,0.066365
podas-BT-RA-BI,60,30,BT-F,0.04216
podas-BT-RA-BI,61,30,BT,0.051207
podas-BT-RA-BI,61,30,BT-O,0.054272
podas-BT-RA-BI,61,30,BT-F,0.05798
podas-BT-RA-BI,62,31,BT,0.077526
podas-BT-RA-BI,62,31,BT-O,0.080511
podas-BT-RA-BI,62,31,BT-F,0.101842
podas-BT-RA-BI,63,31,BT,0.080441
podas-BT-RA-BI,63,31,BT-O,0.078167
podas-BT-RA-BI,63,31,BT-F,0.101381
podas-BT-RA-BI,64,32,BT,0.093326
podas-BT-RA-BI,64,32,BT-O,0.103836
podas-BT-RA-BI,64,32,BT-F,0.126989
podas-BT-RA-BI,65,32,BT,0.091402
podas-BT-RA-BI,65,32,BT-O,0.073508
podas-BT-RA-BI,65,32,BT-F,0.091893
podas-BT-RA-BI,66,33,BT,0.130024
podas-BT-RA-BI,66,33,BT-O,0.117982
podas-BT-RA-BI,66,33,BT-F,0.129885
podas-BT-RA-BI,67,33,BT,0.122521
podas-BT-RA-BI,67,33,BT-O,0.134093
podas-BT-RA-BI,67,33,BT-F,0.128251
podas-BT-RA-BI,68,34,BT,0.172615
podas-BT-RA-BI,68,34,BT-O,0.177785
podas-BT-RA-BI,68,34,BT-F,0.181632
podas-BT-RA-BI,69,34,BT,0.094117
podas-BT-RA-BI,69,34,BT-O,0.096381
podas-BT-RA-BI,69,34,BT-F,0.133401
podas-BT-RA-BI,70,35,BT,0.156995
podas-BT-RA-BI,70,35,BT-O,0.152837
podas-BT-RA-BI,70,35,BT-F,0.179318
podas-BT-RA-BI,71,35,BT,0.148469
podas-BT-RA-BI,71,35,BT-O,0.155974
podas-BT-RA-BI,71,35,BT-F,0.144542
podas-BT-RA-BI,72,36,BT,0.250442
podas-BT-RA-BI,72,36,BT-O,0.282001
podas-BT-RA-BI,72,36,BT-F,0.269046
podas-BT-RA-BI,73,36,BT,0.103474
podas-BT-RA-BI,73,36,BT-O,0.16479
podas-BT-RA-BI,73,36,BT-F,0.201358
podas-BT-RA-BI,74,37,BT,0.186521
podas-BT-RA-BI,74,37,BT-O,0.195017
podas-BT-RA-BI,74,37,BT-F,0.233439
podas-BT-RA-BI,75,37,BT,0.254719
podas-BT-RA-BI,75,37,BT-O,0.211828
podas-BT-RA-BI,75,37,BT-F,0.192812
podas-BT-RA-BI,76,38,BT,0.351792
podas-BT-RA-BI,76,38,BT-O,0.268495
podas-BT-RA-BI,76,38,BT-F,0.224182
podas-BT-RA-BI,77,38,BT,0.114405
podas-BT-RA-BI,77,38,BT-O,0.115077
podas-BT-RA-BI,77,38,BT-F,0.170882
podas-BT-RA-BI,78,39,BT,0.273154
podas-BT-RA-BI,78,39,BT-O,0.362432
podas-BT-RA-BI,78,39,BT-F,0.410202
podas-BT-RA-BI,79,39,BT,0.16991
podas-BT-RA-BI,79,39,BT-O,0.210195
podas-BT-RA-BI,79,39,BT-F,0.141807
podas-BT-RA-BI,80,40,BT,0.194947
podas-BT-RA-BI,80,40,BT-O,0.181452
podas-BT-RA-BI,80,40,BT-F,0.303081
podas-BT-RA-BI,81,40,BT,0.1221
podas-BT-RA-BI,81,40,BT-O,0.151785
podas-BT-RA-BI,81,40,BT-F,0.296478
podas-BT-RA-BI,82,41,BT,0.351441
podas-BT-RA-BI,82,41,BT-O,0.376889
podas-BT-RA-BI,82,41,BT-F,0.352994
podas-BT-RA-BI,83,41,BT,0.305895
podas-BT-RA-BI,83,41,BT-O,0.597064
podas-BT-RA-BI,83,41,BT-F,0.624064
podas-BT-RA-BI,84,42,BT,0.512584
podas-BT-RA-BI,84,42,BT-O,0.555525
podas-BT-RA-BI,84,42,BT-F,0.483499
podas-BT-RA-BI,85,42,BT,0.615849
podas-BT-RA-BI,85,42,BT-O,0.560665
podas-BT-RA-BI,85,42,BT-F,0.368714
podas-BT-RA-BI,86,43,BT,0.201499
podas-BT-RA-BI,86,43,BT-O,0.22345
podas-BT-RA-BI,86,43,BT-F,0.420652
podas-BT-RA-BI,87,43,BT,0.714575
podas-BT-RA-BI,87,43,BT-O,0.806527
podas-BT-RA-BI,87,43,BT-F,0.842987
podas-BT-RA-BI,88,44,BT,0.755702
podas-BT-RA-BI,88,44,BT-O,0.514929
podas-BT-RA-BI,88,44,BT-F,0.456529
podas-BT-RA-BI,89,44,BT,0.438034
podas-BT-RA-BI,89,44,BT-O,0.404211
podas-BT-RA-BI,89,44,BT-F,0.518846
podas-BT-RA-BI,90,45,BT,0.539996
podas-BT-RA-BI,90,45,BT-O,0.408378
podas-BT-RA-BI,90,45,BT-F,0.799073
podas-BT-RA-BI,91,45,BT,0.608465
podas-BT-RA-BI,91,45,BT-O,0.775199
podas-BT-RA-BI,91,45,BT-F,0.803673
podas-BT-RA-BI,92,46,BT,1.19704
podas-BT-RA-BI,92,46,BT-O,1.21569
podas-BT-RA-BI,92,46,BT-F,1.58055
podas-BT-RA-BI,93,46,BT,0.602333
podas-BT-RA-BI,93,46,BT-O,0.635026
podas-BT-RA-BI,93,46,BT-F,0.512134
podas-BT-RA-BI,94,47,BT,0.863264
podas-BT-RA-BI,94,47,BT-O,0.591112
podas-BT-RA-BI,94,47,BT-F,0.933537
podas-BT-RA-BI,95,47,BT,0.526491
podas-BT-RA-BI,95,47,BT-O,0.626799
podas-BT-RA-BI,95,47,BT-F,0.760021
podas-BT-RA-BI,96,48,BT,1.11038
podas-BT-RA-BI,96,48,BT-O,1.14707
podas-BT-RA-BI,96,48,BT-F,0.756354
podas-BT-RA-BI,97,48,BT,1.07092
podas-BT-RA-BI,97,48,BT-O,0.855921
podas-BT-RA-BI,97,48,BT-F,1.18939
podas-BT-RA-BI,98,49,BT,0.833108
podas-BT-RA-BI,98,49,BT-O,0.895425
podas-BT-RA-BI,98,49,BT-F,0.926463
podas-BT-RA-BI,99,49,BT,1.17916
podas-BT-RA-BI,99,49,BT-O,1.20476
podas-BT-RA-BI,99,49,BT-F,1.25266
podas-BT-RA-BI,100,50,BT,0.801638
podas-BT-RA-BI,100,50,BT-O,0.597434
podas-BT-RA-BI,100,50,BT-F,1.13177
podas-BT-RA-BI,101,50,BT,1.65181
podas-BT-RA-BI,101,50,BT-O,1.94519
podas-BT-RA-BI,101,50,BT-F,1.86733
podas-BT-RA-BI,102,51,BT,1.06028
podas-BT-RA-BI,102,51,BT-O,1.32056
podas-BT-RA-BI,102,51,BT-F,1.00038
podas-BT-RA-BI,103,51,BT,0.768126
podas-BT-RA-BI,103,51,BT-O,0.817117
podas-BT-RA-BI,103,51,BT-F,0.990694
podas-BT-RA-BI,104,52,BT,1.62377
podas-BT-RA-BI,104,52,BT-O,1.92302
podas-BT-RA-BI,104,52,BT-F,1.84974
podas-BT-RA-BI,105,52,BT,1.28146
podas-BT-RA-BI,105,52,BT-O,1.36754
podas-BT-RA-BI,105,52,BT-F,1.73507
podas-BT-RA-BI,106,53,BT,0.77628
podas-BT-RA-BI,106,53,BT-O,0.761152
podas-BT-RA-BI,106,53,BT-F,1.52202
podas-BT-RA-BI,107,53,BT,1.10613
podas-BT-RA-BI,107,53,BT-O,1.77262
podas-BT-RA-BI,107,53,BT-F,1.59137
